area_type,availability,size,society,total_sqft,bath,balcony,price,site_location
Plot  Area,Ready To Move,4 Bedroom,,1200,4,3,165,Jangali Maharaj Road
Super built-up  Area,Ready To Move,3 BHK,PhestOn,2390,3,2,415,Kalyani Nagar
Plot  Area,Ready To Move,4 Bedroom,,2400,4,1,400,Karve Nagar
Super built-up  Area,Ready To Move,3 BHK,NRowse ,1464,3,2,56,Karve Road
Super built-up  Area,Ready To Move,2 BHK,,1200,2,2,55,Kasba Peth
Super built-up  Area,Ready To Move,2 BHK,Abncy R,1200,2,2,52,Katraj
Super built-up  Area,Ready To Move,3 BHK,Baowsig,1150,2,1,55,Khadaki
Built-up  Area,Ready To Move,3 BHK,Itala A,1645,3,2,95,Khadki
Super built-up  Area,20-Mar,2 BHK,,1000,2,1,67,Kharadi
Plot  Area,Ready To Move,4 Bedroom,,2650,4,2,198,Kondhwa
Super built-up  Area,Ready To Move,2 BHK,HMinebo,1192,2,2,74,Kondhwa Budruk
Super built-up  Area,Ready To Move,3 BHK,K borja,2135,3,2,215,Kondhwa Khurd
Super built-up  Area,19-Dec,2 BHK,Oreldhi,1173,2,1,58,Koregaon Park
Built-up  Area,Ready To Move,2 BHK,Sungspr,1020,2,2,45,Kothrud
Super built-up  Area,Ready To Move,4 BHK,Prtanha,3122,6,2,230,Law College Road
Super built-up  Area,Ready To Move,3 BHK,,1600,3,3,64,Laxmi Road
Plot  Area,18-Mar,2 Bedroom,,1200,2,0,79,Lulla Nagar
Carpet  Area,Ready To Move,2 BHK,,1230,2,3,48,Mahatma Gandhi Road
Super built-up  Area,Ready To Move,2 BHK,Clntsrt,1250,2,2,40,Mangalwar peth
Super built-up  Area,Ready To Move,2 BHK,PuamaPa,1325,2,2,76,Manik Bagh
Built-up  Area,Ready To Move,3 BHK,Brngsal,1850,3,1,150,Market yard
Super built-up  Area,21-Dec,1 BHK,PrarePa,525,,,21.53,Model colony
Super built-up  Area,Ready To Move,2 BHK,,1200,2,2,65,Mukund Nagar
Plot  Area,Ready To Move,3 Bedroom,,1350,2,0,140,Mundhawa
Super built-up  Area,18-Jun,3 BHK,SSestth,1260,3,1,49.36,Nagar Road
Super built-up  Area,Ready To Move,3 BHK,Vancy R,1800,3,0,150,Nana Peth
Plot  Area,18-Dec,3 Bedroom,PrhyaK ,11,3,2,74,Narayan Peth
Built-up  Area,Ready To Move,2 BHK,Miwel M,1100,2,1,43.25,Narayangaon
Super built-up  Area,Ready To Move,2 BHK,SrEndPo,1508,2,1,77,Navi Peth
Carpet  Area,Ready To Move,3 BHK,Puens G,1592,3,2,75,Padmavati
Super built-up  Area,Ready To Move,2 BHK,SagasSa,1388,2,3,57,Parvati Darshan
Super built-up  Area,18-May,1 BHK,SNbay G,630,1,1,28.35,Pashan
Plot  Area,Ready To Move,3 Bedroom,,2000,3,2,365,Paud Road
Super built-up  Area,Ready To Move,3 BHK,,1762,3,1,125,Pirangut
Super built-up  Area,21-Dec,2 BHK,,950,2,2,50,Prabhat Road
Super built-up  Area,Ready To Move,4 BHK,Soianal,3252,5,3,335,Pune Railway Station
Super built-up  Area,18-Aug,2 BHK,Vrenty ,1116,2,1,50,Rasta Peth
Super built-up  Area,Ready To Move,2 BHK,AriosHe,1308,2,2,89.04,Raviwar Peth
Super built-up  Area,Ready To Move,3 BHK,,1200,3,0,90,Sadashiv Peth
Plot  Area,Ready To Move,4 Bedroom,,1500,4,2,230,Sahakar Nagar
Built-up  Area,Ready To Move,1 BHK,,500,1,1,18.5,Salunke Vihar
Super built-up  Area,Ready To Move,2 BHK,SLureSi,1075,2,1,52,Sasson Road
Super built-up  Area,18-Mar,1 BHK,Siissi ,530,1,0,11.66,Satara Road
Built-up  Area,Ready To Move,2 BHK,,1205,2,3,66,Senapati Bapat Road
Super built-up  Area,Ready To Move,2 BHK,Mangsr ,1075,2,2,60,Shaniwar Peth
Built-up  Area,Ready To Move,2 BHK,HovasTe,930,2,2,39,Shivaji Nagar
Super built-up  Area,Ready To Move,2 BHK,Exncene,1380,2,1,60,Shukrawar Peth
Super built-up  Area,Ready To Move,4 BHK,Prersis,2483,5,2,212,Sinhagad Road
Built-up  Area,Ready To Move,2 BHK,Shyas S,1166,2,2,55,Somwar Peth
Super built-up  Area,Ready To Move,2 BHK,NadelCi,1050,2,1,65,Swargate
Super built-up  Area,19-Mar,3 BHK,Sothadr,2023.71,3,2,275,Tilak Road
Super built-up  Area,Ready To Move,2 BHK,Dhalsh ,1200,2,2,46.8,Uruli Devachi
Super built-up  Area,Ready To Move,3 BHK,Puarent,1600,2,1,108,Vadgaon Budruk
Super built-up  Area,Ready To Move,3 BHK,MaionPa,1935,3,2,110,Wadgaon Sheri
Super built-up  Area,18-May,1 BHK,Maian M,451,1,0,29.9,Viman Nagar
Super built-up  Area,Ready To Move,3 BHK,ShstaAl,1800,3,2,95,Vishrant Wadi
Super built-up  Area,18-May,3 BHK,Shard T,1400,3,0,77,Wagholi
Super built-up  Area,Ready To Move,3 BHK,SoitaCa,1801,3,2,115,Wakadewadi
Built-up  Area,Ready To Move,2 BHK,Neagar ,1451,2,,90,Wanowrie
Plot  Area,19-Jan,2 Bedroom,,1200,1,1,36,Warje
Super built-up  Area,Ready To Move,2 BHK,Dhalsh ,1160,2,2,44,Yerawada
Built-up  Area,Ready To Move,2 BHK,,1000,2,1,25,Alandi Road
Super built-up  Area,Ready To Move,2 BHK,Wiowsri,950,2,1,40,Ambegaon Budruk
Built-up  Area,20-Dec,3 BHK,,1629,3,2,79,Anandnagar
Built-up  Area,Ready To Move,3 BHK,,1580,2,0,134,Aundh
Super built-up  Area,21-Jun,3 BHK,Saityat,1826,3,2,121,Aundh Road
Built-up  Area,Ready To Move,2 BHK,Eladero,1245,2,1,94,Balaji Nagar
Super built-up  Area,Ready To Move,2 BHK,Lancyey,1145,2,2,45.79,Baner
Super built-up  Area,Ready To Move,2 BHK,Suiseit,825,2,1,33,Baner road
Super built-up  Area,18-Aug,3 BHK,Aroomba,1693,3,3,108,Bhandarkar Road
Super built-up  Area,Ready To Move,2 BHK,Courf T,1113.27,2,2,53,Bhavani Peth
Built-up  Area,Ready To Move,2 BHK,VMowsea,1460,2,1,58,Bibvewadi
Built-up  Area,Ready To Move,2 BHK,S onsMa,1050,2,1,32,Bopodi
Built-up  Area,Ready To Move,2 BHK,Tuentpa,1260,2,2,55,Budhwar Peth
Super built-up  Area,Ready To Move,6 BHK,,700,3,,120,Bund Garden Road
Built-up  Area,Ready To Move,2 BHK,Tovesee,1656,2,1,120,Camp
Super built-up  Area,Ready To Move,3 BHK,Vailsaf,1208,3,1,45,Chandan Nagar
Super built-up  Area,Ready To Move,3 BHK,BrlisCo,1910,3,2,161,Dapodi
Super built-up  Area,Ready To Move,4 BHK,Haestt ,3252,4,1,230,Deccan Gymkhana
Plot  Area,Ready To Move,2 Bedroom,,1200,2,1,65,Dehu Road
Super built-up  Area,Ready To Move,4 BHK,,1200,4,1,175,Dhankawadi
Super built-up  Area,Ready To Move,2 BHK,BriumMi,1175,2,1,82,Dhayari Phata
Plot  Area,Ready To Move,2 Bedroom,,1000,2,0,165,Dhole Patil Road
Plot  Area,Ready To Move,4 Bedroom,,1200,2,0,125,Erandwane
Super built-up  Area,Ready To Move,3 BHK,PhestOn,2390,3,2,410,Fatima Nagar
Super built-up  Area,19-Jan,7 BHK,,12000,6,3,2200,Fergusson College Road
Plot  Area,Ready To Move,2 Bedroom,,550,1,1,62,Ganesh Peth
Super built-up  Area,Ready To Move,1 BHK,,34.46Sq. Meter,1,0,18.5,Ganeshkhind
Super built-up  Area,Ready To Move,2 BHK,Hoxiaa ,1185,2,,38,Ghorpade Peth
Super built-up  Area,Ready To Move,2 BHK,VBvenal,750,2,1,38,Ghorpadi
Plot  Area,Ready To Move,6 Bedroom,,1200,7,3,250,Gokhale Nagar
Super built-up  Area,Ready To Move,3 BHK,JRrnauv,1550,3,3,64.5,Gultekdi
Built-up  Area,Ready To Move,3 BHK,Hoeatan,1760,3,2,88,Guruwar peth
Super built-up  Area,Ready To Move,2 BHK,Asity S,1125,2,2,62,Hadapsar
Plot  Area,Ready To Move,3 Bedroom,,1350,3,2,150,Hadapsar Industrial Estate
Plot  Area,17-Dec,2 Bedroom,,1000,2,1,55,Hingne Khurd
Built-up  Area,18-Aug,2 BHK,,1090,2,2,31.48,Jangali Maharaj Road
Plot  Area,Ready To Move,2 Bedroom,,1200,2,0,60,Kalyani Nagar
Super built-up  Area,Ready To Move,3 BHK,PrityTr,1991,4,2,103,Karve Nagar
Super built-up  Area,18-Oct,2 BHK,DSoodil,1060,2,1,26.5,Karve Road
Super built-up  Area,Ready To Move,2 BHK,SJarkte,1105,2,1,75,Kasba Peth
Built-up  Area,Ready To Move,2 BHK,Dhgraas,985,2,2,67,Katraj
Plot  Area,Ready To Move,6 Bedroom,,1533,5,3,85,Khadaki
Super built-up  Area,17-Jul,3 BHK,HiqueMa,1590,3,2,79,Khadki
Super built-up  Area,Ready To Move,2 BHK,Srshq T,1120,2,2,55,Kharadi
Super built-up  Area,Ready To Move,2 BHK,SPontna,1069,2,1,55,Kondhwa
Super built-up  Area,Ready To Move,3 BHK,Prionad,1933,3,2,140,Kondhwa Budruk
Built-up  Area,16-Mar,2 BHK,PuendWe,1194,2,0,69,Kondhwa Khurd
Super built-up  Area,Ready To Move,2 BHK,Danna S,1150,2,3,69,Koregaon Park
Super built-up  Area,Ready To Move,2 BHK,,1240,2,2,47.12,Kothrud
Super built-up  Area,Ready To Move,2 BHK,GrrvaGr,1419,2,2,48.1,Law College Road
Plot  Area,Ready To Move,8 Bedroom,,1200,8,,250,Laxmi Road
Super built-up  Area,Ready To Move,3 BHK,Bltonin,2150,4,,240,Lulla Nagar
Super built-up  Area,Ready To Move,3 BHK,MSanaer,1450,3,2,55,Mahatma Gandhi Road
Super built-up  Area,18-Jul,3 BHK,Plowsri,1630,3,2,68.29,Mangalwar peth
Super built-up  Area,Ready To Move,2 BHK,Tavenew,708,1,1,40,Manik Bagh
Plot  Area,Ready To Move,3 Bedroom,,1000,4,3,110,Market yard
Plot  Area,Ready To Move,4 Bedroom,,11890,4,3,700,Model colony
Super built-up  Area,Ready To Move,2 BHK,Ocavees,1250,2,1,76,Mukund Nagar
Super built-up  Area,Ready To Move,3 BHK,Brnia G,1400,2,1,95,Mundhawa
Super built-up  Area,Ready To Move,3 BHK,,1670,2,3,57,Nagar Road
Super built-up  Area,Ready To Move,3 BHK,SoystAm,1750,3,2,100,Nana Peth
Super built-up  Area,Ready To Move,2 BHK,Prlla C,1404,2,1,71,Narayan Peth
Super built-up  Area,Ready To Move,3 BHK,SMaxyay,1715,2,2,95,Narayangaon
Built-up  Area,18-Apr,1 BHK,Prarkun,630,1,1,34.65,Navi Peth
Super built-up  Area,Ready To Move,3 BHK,SosicCl,1752.12,3,2,135,Padmavati
Super built-up  Area,Ready To Move,3 BHK,,1650,3,2,78,Parvati Darshan
Super built-up  Area,Ready To Move,2 BHK,GrrvaGr,1295,2,1,55.47,Pashan
Plot  Area,Ready To Move,3 Bedroom,Bancyri,1800,3,2,252,Paud Road
Super built-up  Area,18-Sep,2 BHK,PualeSk,1346,2,1,74.03,Pirangut
Plot  Area,Ready To Move,4 Bedroom,,1200,4,2,200,Prabhat Road
Super built-up  Area,Ready To Move,2 BHK,ElavuHo,1150,2,2,55,Pune Railway Station
Built-up  Area,Ready To Move,4 Bedroom,Gontyol,3309,4,3,325,Rasta Peth
Super built-up  Area,18-May,3 BHK,SunceEs,1190,2,2,30.35,Raviwar Peth
Super built-up  Area,Ready To Move,3 BHK,DSutyng,1620,3,2,98,Sadashiv Peth
Super built-up  Area,18-Apr,2 BHK,,950,2,1,46.96,Sahakar Nagar
Super built-up  Area,Ready To Move,11 BHK,Bancyri,5000,9,3,360,Salunke Vihar
Super built-up  Area,Ready To Move,3 BHK,SrEndPo,2450,3,0,120,Sasson Road
Super built-up  Area,18-May,3 BHK,Sryalan,1220,2,1,35.23,Satara Road
Super built-up  Area,Ready To Move,2 BHK,RKntsrt,850,2,1,30,Senapati Bapat Road
Built-up  Area,Ready To Move,2 BHK,,1020,2,2,63,Shaniwar Peth
Built-up  Area,Ready To Move,2 BHK,,1100,2,2,50,Shivaji Nagar
Super built-up  Area,Ready To Move,2 BHK,Vantspa,1150,2,2,126,Shukrawar Peth
Super built-up  Area,18-Dec,3 BHK,Mahosya,1760,2,2,130,Sinhagad Road
Super built-up  Area,Ready To Move,3 BHK,,1800,3,3,110,Somwar Peth
Super built-up  Area,Ready To Move,2 BHK,,1070,2,1,54,Swargate
Plot  Area,Ready To Move,4 Bedroom,,1500,4,2,220,Tilak Road
Plot  Area,Ready To Move,2 Bedroom,,1440,2,0,95,Uruli Devachi
Super built-up  Area,Ready To Move,2 BHK,Prowsi ,900,2,1,40,Vadgaon Budruk
Built-up  Area,Ready To Move,4 BHK,,1200,4,1,230,Wadgaon Sheri
Super built-up  Area,18-May,2 BHK,SMuilan,1130,2,1,42.16,Viman Nagar
Super built-up  Area,Ready To Move,2 BHK,Proodt ,1320,2,1,165,Vishrant Wadi
Super built-up  Area,19-Jun,2 BHK,,1270,2,1,98,Wagholi
Built-up  Area,Ready To Move,2 BHK,Sryamar,1200,2,1,62,Wakadewadi
Super built-up  Area,Ready To Move,4 BHK,,4800,4,,235,Wanowrie
Super built-up  Area,Ready To Move,2 BHK,,1200,2,1,74,Warje
Super built-up  Area,Ready To Move,2 BHK,Prldsri,929,2,0,50.17,Yerawada
Built-up  Area,Ready To Move,4 BHK,LiaveEn,1150,4,2,260,Alandi Road
Plot  Area,Ready To Move,4 Bedroom,,1125,4,3,180,Ambegaon Budruk
Plot  Area,Ready To Move,5 Bedroom,,500,3,2,65,Anandnagar
Plot  Area,Ready To Move,5 Bedroom,Bemesrm,1200,5,2,190,Aundh
Super built-up  Area,Ready To Move,3 BHK,,1464,3,2,56,Aundh Road
Super built-up  Area,Ready To Move,4 BHK,,3600,4,3,400,Balaji Nagar
Plot  Area,Ready To Move,4 Bedroom,,2000,4,2,99,Baner
Super built-up  Area,Ready To Move,2 BHK,,1208,2,1,49,Baner road
Super built-up  Area,Ready To Move,2 BHK,Vrensn ,1130,2,2,60,Bhandarkar Road
Super built-up  Area,Ready To Move,3 BHK,VDdonel,1753,3,2,120,Bhavani Peth
Super built-up  Area,Ready To Move,5 BHK,Brica E,4500,7,3,337,Bibvewadi
Plot  Area,Ready To Move,3 Bedroom,,600,3,2,58,Bopodi
Super built-up  Area,22-Jun,2 BHK,GoAirej,1196,2,2,94.42,Budhwar Peth
Built-up  Area,Ready To Move,2 BHK,Prenty ,1150,3,3,52.5,Bund Garden Road
Super built-up  Area,18-Apr,2 BHK,Prarkun,1128,2,1,63,Camp
Super built-up  Area,Ready To Move,2 BHK,Shinei ,1000,2,1,53,Chandan Nagar
Super built-up  Area,Ready To Move,2 BHK,Apows M,1035,2,1,45,Dapodi
Built-up  Area,Ready To Move,2 BHK,,950,2,1,32,Deccan Gymkhana
Super built-up  Area,Ready To Move,3 BHK,Prityel,1075,2,1,36,Dehu Road
Super built-up  Area,Ready To Move,2 BHK,SVineun,1040,2,1,48.5,Dhankawadi
Plot  Area,17-Oct,2 Bedroom,,720,2,1,45,Dhayari Phata
Super built-up  Area,Ready To Move,3 BHK,Soiewre,1511,3,1,95,Dhole Patil Road
Built-up  Area,Ready To Move,3 BHK,,1300,3,1,58,Erandwane
Super built-up  Area,19-Dec,3 BHK,Caycend,1545,3,1,68.75,Fatima Nagar
Built-up  Area,Ready To Move,1 BHK,,375,2,0,26,Fergusson College Road
Super built-up  Area,Ready To Move,2 BHK,,1062,2,3,38,Ganesh Peth
Super built-up  Area,Ready To Move,2 BHK,,1115,2,1,40,Ganeshkhind
Super built-up  Area,Ready To Move,2 BHK,DSvvyx ,1000,2,1,35,Ghorpade Peth
Super built-up  Area,17-May,2 BHK,Prrtht ,883,2,1,45,Ghorpadi
Super built-up  Area,19-Apr,2 BHK,Brareio,1195,2,1,70,Gokhale Nagar
Plot  Area,Ready To Move,4 Bedroom,,1200,3,1,165,Gultekdi
Built-up  Area,Ready To Move,1 Bedroom,,700,1,0,41,Guruwar peth
Super built-up  Area,Ready To Move,2 BHK,Prlla C,1246,2,1,67,Hadapsar
Plot  Area,Ready To Move,4 Bedroom,,660,4,2,90,Hadapsar Industrial Estate
Plot  Area,Ready To Move,4 Bedroom,,8500,4,2,145,Hingne Khurd
Super built-up  Area,Ready To Move,4 BHK,,1600,4,1,80,Jangali Maharaj Road
Super built-up  Area,18-Dec,4 BHK,SNnia E,2805,5,3,154,Kalyani Nagar
Super built-up  Area,Ready To Move,3 BHK,,1584,3,,65,Karve Nagar
Plot  Area,Ready To Move,4 Bedroom,,3000,5,1,275,Karve Road
Built-up  Area,Ready To Move,3 BHK,,1175,2,2,48,Kasba Peth
Built-up  Area,19-Jul,3 BHK,,1595,3,2,115,Katraj
Super built-up  Area,Ready To Move,2 BHK,OlarkLa,1353,2,2,110,Khadaki
Super built-up  Area,18-Apr,3 BHK,Prarkun,1599,3,2,125,Khadki
Super built-up  Area,Ready To Move,2 BHK,SuMTBPr,1150,2,1,70,Kharadi
Super built-up  Area,17-Dec,4 BHK,Lecco C,5230,6,1,465,Kondhwa
Super built-up  Area,Ready To Move,2 BHK,Jahidva,1155,2,2,42.74,Kondhwa Budruk
Built-up  Area,Ready To Move,1 BHK,,1200,2,0,85,Kondhwa Khurd
Super built-up  Area,18-Jul,2 BHK,,1000,2,1,25,Koregaon Park
Super built-up  Area,Ready To Move,4 BHK,,3000,4,,120,Kothrud
Built-up  Area,Ready To Move,3 BHK,PuoodSk,1867,3,1,160,Law College Road
Super built-up  Area,18-Jun,2 BHK,ViistLa,1251,2,1,47,Laxmi Road
Super built-up  Area,18-Apr,2 BHK,Arano M,1028,2,1,45.5,Lulla Nagar
Super built-up  Area,Ready To Move,2 BHK,Amngsag,1222,2,2,45,Mahatma Gandhi Road
Super built-up  Area,Ready To Move,3 BHK,SNity S,1170,2,1,66,Mangalwar peth
Super built-up  Area,Ready To Move,3 BHK,Kacesh ,2400,4,1,245,Manik Bagh
Super built-up  Area,Ready To Move,3 BHK,,1385,2,2,48.48,Market yard
Super built-up  Area,Ready To Move,2 BHK,SrisePo,1372,2,1,68,Model colony
Super built-up  Area,Ready To Move,3 BHK,Bilya A,1282,2,2,49,Mukund Nagar
Super built-up  Area,Ready To Move,9 BHK,Amsomun,5000,9,3,210,Mundhawa
Built-up  Area,Ready To Move,5 Bedroom,,3000,3,1,528,Nagar Road
Super built-up  Area,Ready To Move,2 BHK,Shdhia ,1135,2,1,39.73,Nana Peth
Built-up  Area,20-Dec,3 BHK,,1768,3,2,101,Narayan Peth
Built-up  Area,Ready To Move,3 BHK,Foconna,1325,2,1,90,Narayangaon
Super built-up  Area,18-Apr,3 BHK,Prarkun,1599,3,2,99,Navi Peth
Plot  Area,18-Mar,3 Bedroom,,1500,3,1,61.95,Padmavati
Plot  Area,Ready To Move,3 Bedroom,,2610,3,0,499,Parvati Darshan
Super built-up  Area,Ready To Move,2 BHK,,1286,2,2,63,Pashan
Built-up  Area,Ready To Move,5 BHK,,2845,5,1,140,Paud Road
Super built-up  Area,Ready To Move,3 BHK,Aincy R,1600,2,,50,Pirangut
Super built-up  Area,18-Sep,2 BHK,Shxorm ,1195 - 1440,2,0,63.77,Prabhat Road
Super built-up  Area,Ready To Move,3 BHK,Brium C,3450,5,2,260,Pune Railway Station
Super built-up  Area,18-Apr,2 BHK,Sadhii ,1102,2,2,53.67,Rasta Peth
Super built-up  Area,Ready To Move,2 BHK,Sahanra,1350,2,2,54,Raviwar Peth
Super built-up  Area,Ready To Move,3 BHK,,1200,2,2,42,Sadashiv Peth
Plot  Area,Ready To Move,6 Bedroom,,1300,6,0,145,Sahakar Nagar
Plot  Area,Ready To Move,2 Bedroom,,1800,1,1,80,Salunke Vihar
Built-up  Area,Ready To Move,2 BHK,,950,2,1,40,Sasson Road
Super built-up  Area,21-Dec,1 BHK,PrarePa,525,1,1,27.25,Satara Road
Built-up  Area,Ready To Move,2 BHK,Jae 2hu,656,2,1,25,Senapati Bapat Road
Plot  Area,Ready To Move,4 Bedroom,,1780,4,3,175,Shaniwar Peth
Super built-up  Area,Ready To Move,2 BHK,Icncy R,1056,2,1,80,Shivaji Nagar
Super built-up  Area,21-Feb,1 BHK,Hiatei ,595,1,1,33.32,Shukrawar Peth
Built-up  Area,Ready To Move,2 BHK,,1080,2,2,50,Sinhagad Road
Super built-up  Area,19-Dec,3 BHK,Puarero,2225,3,1,160,Somwar Peth
Super built-up  Area,18-Aug,2 BHK,DSoodil,1126,2,1,28.15,Swargate
Super built-up  Area,Ready To Move,3 BHK,GaicaVe,1490,3,1,84,Tilak Road
Plot  Area,Ready To Move,4 Bedroom,,2000,4,1,300,Uruli Devachi
Super built-up  Area,Ready To Move,3 BHK,PuineSu,1550,3,3,100,Vadgaon Budruk
Super built-up  Area,Ready To Move,3 BHK,Grare S,1600,3,2,86,Wadgaon Sheri
Built-up  Area,Ready To Move,2 BHK,,1160,2,1,55,Viman Nagar
Built-up  Area,Ready To Move,4 Bedroom,PrOakSi,4144,4,3,315,Vishrant Wadi
Super built-up  Area,Ready To Move,3 BHK,Supleon,2100,3,2,125,Wagholi
Super built-up  Area,Ready To Move,2 BHK,Prlla C,1404,2,1,69.3,Wakadewadi
Plot  Area,Ready To Move,4 Bedroom,LGestbo,2230,4,3,225,Wanowrie
Super built-up  Area,Ready To Move,3 BHK,,1544,3,,120,Warje
Super built-up  Area,18-May,3 BHK,Pridsi ,1305,2,1,58.7,Yerawada
Super built-up  Area,Ready To Move,2 BHK,Aahts H,1230,2,2,80,Alandi Road
Plot  Area,Ready To Move,2 Bedroom,,1200,2,0,65,Ambegaon Budruk
Super built-up  Area,Ready To Move,3 BHK,,1460,3,1,73,Anandnagar
Plot  Area,Immediate Possession,,Asiss B,1200 - 2400,,,34.185,Aundh
Built-up  Area,Ready To Move,2 BHK,,967,2,3,45,Aundh Road
Built-up  Area,Ready To Move,1 Bedroom,,540,1,1,36,Balaji Nagar
Super built-up  Area,19-Dec,1 BHK,Kolisl ,715,1,2,46,Baner
Super built-up  Area,Ready To Move,3 BHK,Toindls,2500,3,2,313,Baner road
Super built-up  Area,Ready To Move,3 BHK,Puceswn,1578,3,1,180,Bhandarkar Road
Super built-up  Area,Ready To Move,2 BHK,,1020,2,1,48.95,Bhavani Peth
Super built-up  Area,Ready To Move,2 BHK,i1odsne,1020,2,1,40,Bibvewadi
Super built-up  Area,Ready To Move,2 BHK,Ansna K,1253,2,1,102,Bopodi
Super built-up  Area,Ready To Move,2 BHK,ARnamru,1180,2,2,42,Budhwar Peth
Super built-up  Area,Ready To Move,2 BHK,Veyalin,961,2,2,38,Bund Garden Road
Built-up  Area,Ready To Move,3 BHK,,1419,3,3,75,Camp
Super built-up  Area,Ready To Move,3 BHK,SomonCi,1709,3,2,150,Chandan Nagar
Plot  Area,Ready To Move,2 Bedroom,,1600,2,0,115,Dapodi
Super built-up  Area,18-Jul,1 BHK,,416,1,1,18.5,Deccan Gymkhana
Carpet  Area,Ready To Move,2 BHK,,1100,2,2,98,Dehu Road
Super built-up  Area,Ready To Move,3 BHK,,1430,2,1,65,Dhankawadi
Super built-up  Area,Ready To Move,2 BHK,Daill S,1260,2,2,45,Dhayari Phata
Built-up  Area,Ready To Move,3 BHK,DSureSi,1630,3,2,85,Dhole Patil Road
Super built-up  Area,19-May,3 BHK,Soini T,1249,3,2,44.71,Erandwane
Super built-up  Area,Ready To Move,3 BHK,MancyRe,1450,2,3,85,Fatima Nagar
Super built-up  Area,17-Nov,3 BHK,Prasa W,2791,3,1,223,Fergusson College Road
Super built-up  Area,Ready To Move,1 BHK,,600,1,0,90,Ganesh Peth
Built-up  Area,Ready To Move,1 BHK,Kaantth,834,1,1,60,Ganeshkhind
Plot  Area,Ready To Move,3 Bedroom,,1125,4,1,70,Ghorpade Peth
Super built-up  Area,Ready To Move,3 BHK,,2060,3,2,140,Ghorpadi
Super built-up  Area,19-Jan,7 BHK,,12000,7,3,2200,Gokhale Nagar
Built-up  Area,Ready To Move,2 BHK,Drente ,891,2,1,25,Gultekdi
Super built-up  Area,Ready To Move,2 BHK,GrrvaGr,1133,2,1,49.07,Guruwar peth
Built-up  Area,Ready To Move,3 BHK,Prityel,1075,2,1,37,Hadapsar
Super built-up  Area,18-May,4 BHK,,3000,5,2,260,Hadapsar Industrial Estate
Plot  Area,Ready To Move,4 Bedroom,,2440,5,2,425,Hingne Khurd
Built-up  Area,Ready To Move,2 BHK,,1200,2,2,55,Jangali Maharaj Road
Super built-up  Area,Ready To Move,2 BHK,,1075,2,2,45.8,Kalyani Nagar
Super built-up  Area,Ready To Move,2 BHK,,1140,2,2,40,Karve Nagar
Plot  Area,Ready To Move,5 Bedroom,,940,4,2,150,Karve Road
Plot  Area,Ready To Move,6 Bedroom,,2160,5,1,250,Kasba Peth
Super built-up  Area,Ready To Move,2 BHK,SGandea,1090,2,1,42,Katraj
Built-up  Area,Ready To Move,4 Bedroom,,1500,4,1,70,Khadaki
Super built-up  Area,Ready To Move,4 BHK,,4104,4,2,360,Khadki
Super built-up  Area,Ready To Move,3 BHK,,1790,3,,100,Kharadi
Super built-up  Area,18-Dec,3 BHK,Mahosya,1920,3,2,134,Kondhwa
Built-up  Area,Ready To Move,2 BHK,Eline P,1374,2,2,95,Kondhwa Budruk
Carpet  Area,Ready To Move,3 BHK,,1445,3,2,95,Kondhwa Khurd
Super built-up  Area,19-Dec,1 BHK,GoityEt,711,1,1,36,Koregaon Park
Super built-up  Area,Ready To Move,3 BHK,SosonGa,1500,3,3,95,Kothrud
Super built-up  Area,Ready To Move,3 BHK,Gotis A,1720,3,3,100,Law College Road
Super built-up  Area,Ready To Move,3 BHK,,1400,3,2,60,Laxmi Road
Built-up  Area,Ready To Move,2 BHK,,1030,2,2,49,Lulla Nagar
Super built-up  Area,Ready To Move,2 BHK,PrntaEn,1200,2,1,85,Mahatma Gandhi Road
Carpet  Area,18-Jul,3 BHK,NSezeBr,1375,3,2,70,Mangalwar peth
Plot  Area,Ready To Move,2 Bedroom,,1050,1,,56,Manik Bagh
Super built-up  Area,Ready To Move,3 BHK,Tahtsla,2250,3,2,160,Market yard
Super built-up  Area,Ready To Move,2 BHK,Sronda ,1000,2,2,50,Model colony
Super built-up  Area,Ready To Move,1 BHK,Prntsax,469,1,0,25,Mukund Nagar
Super built-up  Area,Ready To Move,4 BHK,PueraRi,3800,4,3,250,Mundhawa
Super built-up  Area,Ready To Move,2 BHK,Prrtht ,883,2,1,29,Nagar Road
Super built-up  Area,Ready To Move,3 BHK,Chnts A,1820,2,3,86,Nana Peth
Built-up  Area,Ready To Move,3 BHK,,1440,2,3,65,Narayan Peth
Super built-up  Area,Ready To Move,6 BHK,,3600,4,1,160,Narayangaon
Built-up  Area,Ready To Move,4 BHK,GaityEt,2500,5,2,325,Navi Peth
Super built-up  Area,18-Aug,2 BHK,,1225,2,2,48,Padmavati
Plot  Area,Ready To Move,3 Bedroom,,4000,3,1,660,Parvati Darshan
Carpet  Area,Ready To Move,2 BHK,,875,2,3,52.8,Pashan
Super built-up  Area,Ready To Move,1 BHK,ShshaSa,750,1,2,40,Paud Road
Super built-up  Area,Ready To Move,2 BHK,,1180,2,3,80,Pirangut
Super built-up  Area,Ready To Move,2 BHK,,1194,2,2,47,Prabhat Road
Super built-up  Area,Ready To Move,3 BHK,,1500,2,2,62,Pune Railway Station
Super built-up  Area,Ready To Move,2 BHK,,1160,2,2,52.2,Rasta Peth
Built-up  Area,Ready To Move,9 Bedroom,,4125Perch,9,,265,Raviwar Peth
